Episode,RoundRobin,Priority,Qlearning
1,22.449999999999996,50.85000000000003,87.85000000000002
2,22.449999999999996,36.550000000000104,87.85000000000002
3,22.449999999999996,49.20000000000004,87.85000000000002
4,22.449999999999996,87.30000000000003,87.85000000000002
5,22.449999999999996,76.30000000000008,87.85000000000002
6,22.449999999999996,51.950000000000024,87.85000000000002
7,22.449999999999996,50.85000000000003,87.85000000000002
8,22.449999999999996,87.30000000000003,87.85000000000002
9,22.449999999999996,87.30000000000003,87.85000000000002
10,22.449999999999996,87.30000000000003,87.85000000000002
11,22.449999999999996,51.950000000000024,87.85000000000002
12,22.449999999999996,51.950000000000024,87.85000000000002
13,22.449999999999996,76.85000000000008,87.85000000000002
14,22.449999999999996,47.55000000000005,87.85000000000002
15,22.449999999999996,87.30000000000003,87.85000000000002
16,22.449999999999996,39.85000000000009,87.85000000000002
17,22.449999999999996,87.30000000000003,87.85000000000002
18,22.449999999999996,31.050000000000132,87.85000000000002
19,22.449999999999996,51.950000000000024,87.85000000000002
20,22.449999999999996,87.30000000000003,87.85000000000002
21,22.449999999999996,26.650000000000155,87.85000000000002
22,22.449999999999996,39.30000000000009,87.85000000000002
23,22.449999999999996,51.950000000000024,87.85000000000002
24,22.449999999999996,51.950000000000024,87.85000000000002
25,22.449999999999996,85.10000000000004,87.85000000000002
26,22.449999999999996,51.950000000000024,87.85000000000002
27,22.449999999999996,85.65000000000003,87.85000000000002
28,22.449999999999996,87.30000000000003,87.85000000000002
29,22.449999999999996,87.30000000000003,87.85000000000002
30,22.449999999999996,87.30000000000003,87.85000000000002
31,22.449999999999996,87.30000000000003,87.85000000000002
32,22.449999999999996,48.65000000000004,87.85000000000002
33,22.449999999999996,84.55000000000004,87.85000000000002
34,22.449999999999996,85.10000000000004,87.85000000000002
35,22.449999999999996,42.60000000000007,87.85000000000002
36,22.449999999999996,51.950000000000024,87.85000000000002
37,22.449999999999996,39.30000000000009,87.85000000000002
38,22.449999999999996,51.950000000000024,87.85000000000002
39,22.449999999999996,84.00000000000004,87.85000000000002
40,22.449999999999996,87.30000000000003,87.85000000000002
41,22.449999999999996,51.950000000000024,87.85000000000002
42,22.449999999999996,87.30000000000003,87.85000000000002
43,22.449999999999996,50.85000000000003,87.85000000000002
44,22.449999999999996,87.30000000000003,87.85000000000002
45,22.449999999999996,33.80000000000012,87.85000000000002
46,22.449999999999996,85.10000000000004,87.85000000000002
47,22.449999999999996,44.250000000000064,87.85000000000002
48,22.449999999999996,85.10000000000004,87.85000000000002
49,22.449999999999996,85.65000000000003,87.85000000000002
50,22.449999999999996,85.10000000000004,87.85000000000002
51,22.449999999999996,51.950000000000024,87.85000000000002
52,22.449999999999996,87.30000000000003,87.85000000000002
53,22.449999999999996,49.750000000000036,87.85000000000002
54,22.449999999999996,86.20000000000003,87.85000000000002
55,22.449999999999996,46.45000000000005,87.85000000000002
56,22.449999999999996,50.85000000000003,87.85000000000002
57,22.449999999999996,87.30000000000003,87.85000000000002
58,22.449999999999996,51.950000000000024,87.85000000000002
59,22.449999999999996,87.30000000000003,87.85000000000002
60,22.449999999999996,48.65000000000004,87.85000000000002
61,22.449999999999996,51.950000000000024,87.85000000000002
62,22.449999999999996,51.950000000000024,87.85000000000002
63,22.449999999999996,82.35000000000005,87.85000000000002
64,22.449999999999996,85.10000000000004,87.85000000000002
65,22.449999999999996,63.65000000000015,87.85000000000002
66,22.449999999999996,48.100000000000044,87.85000000000002
67,22.449999999999996,49.20000000000004,87.85000000000002
68,22.449999999999996,71.9000000000001,87.85000000000002
69,22.449999999999996,87.30000000000003,87.85000000000002
70,22.449999999999996,51.950000000000024,87.85000000000002
71,22.449999999999996,82.90000000000005,87.85000000000002
72,22.449999999999996,82.90000000000005,87.85000000000002
73,22.449999999999996,18.50000000000016,87.85000000000002
74,22.449999999999996,86.20000000000003,87.85000000000002
75,22.449999999999996,87.30000000000003,87.85000000000002
76,22.449999999999996,73.5500000000001,87.85000000000002
77,22.449999999999996,87.30000000000003,87.85000000000002
78,22.449999999999996,45.35000000000006,87.85000000000002
79,22.449999999999996,87.30000000000003,87.85000000000002
80,22.449999999999996,51.950000000000024,87.85000000000002
81,22.449999999999996,48.65000000000004,87.85000000000002
82,22.449999999999996,87.30000000000003,87.85000000000002
83,22.449999999999996,49.20000000000004,87.85000000000002
84,22.449999999999996,87.30000000000003,87.85000000000002
85,22.449999999999996,51.950000000000024,87.85000000000002
86,22.449999999999996,51.950000000000024,87.85000000000002
87,22.449999999999996,87.30000000000003,87.85000000000002
88,22.449999999999996,87.30000000000003,87.85000000000002
89,22.449999999999996,85.10000000000004,87.85000000000002
90,22.449999999999996,81.80000000000005,87.85000000000002
91,22.449999999999996,49.750000000000036,87.85000000000002
92,22.449999999999996,87.30000000000003,87.85000000000002
93,22.449999999999996,87.30000000000003,87.85000000000002
94,22.449999999999996,51.950000000000024,87.85000000000002
95,22.449999999999996,80.70000000000006,87.85000000000002
96,22.449999999999996,46.05000000000016,87.85000000000002
97,22.449999999999996,51.950000000000024,87.85000000000002
98,22.449999999999996,82.35000000000005,87.85000000000002
99,22.449999999999996,37.6500000000001,87.85000000000002
100,22.449999999999996,50.85000000000003,87.85000000000002
